year,state,county,fips,loan_average_orig,income_average_orig,count_orig,value_orig,native_loan_average_orig,native_income_average_orig,native_count_orig,native_value_orig,black_loan_average_orig,black_income_average_orig,black_count_orig,black_value_orig,asian_loan_average_orig,asian_income_average_orig,asian_count_orig,asian_value_orig,white_loan_average_orig,white_income_average_orig,white_count_orig,white_value_orig,hawaiian_loan_average_orig,hawaiian_income_average_orig,hawaiian_count_orig,hawaiian_value_orig,not_applicable_loan_average_orig,not_applicable_income_average_orig,not_applicable_count_orig,not_applicable_value_orig,not_provided_loan_average_orig,not_provided_income_average_orig,not_provided_count_orig,not_provided_value_orig,no_co_app_loan_average_orig,no_co_app_income_average_orig,no_co_app_count_orig,no_co_app_value_orig
2012,21,097,21097,127.71,85.92,235,30013,130.0,138.2,5.0,650.0,114.43,68.14,7.0,801.0,,,,,127.15,81.27,216.0,27465.0,,,,,101.0,741.0,1.0,101.0,166.0,121.5,6.0,996.0,,,,
2012,31,037,31037,96.18,82.91,119,11446,,,,,,,,,,,,,89.61,82.78,115.0,10305.0,,,,,800.0,116.0,1.0,800.0,113.67,76.67,3.0,341.0,,,,
2012,48,475,48475,93.1,97.13,79,7355,39.0,40.0,1.0,39.0,48.0,72.0,1.0,48.0,61.67,74.0,3.0,185.0,100.61,102.15,66.0,6640.0,,,,,,,,,55.38,74.63,8.0,443.0,,,,
2012,01,005,01005,127.65,83.88,201,25657,89.0,150.0,1.0,89.0,60.27,45.09,22.0,1326.0,,,,,135.57,87.77,173.0,23454.0,,,,,,,,,157.6,106.6,5.0,788.0,,,,
2012,29,207,29207,108.55,80.06,324,35170,,,,,,,,,72.5,89.5,2.0,145.0,110.76,80.94,290.0,32119.0,,,,,,,,,90.81,71.47,32.0,2906.0,,,,
2012,41,037,41037,111.36,73.17,59,6570,,,,,,,,,,,,,116.43,75.57,49.0,5705.0,,,,,,,,,86.5,61.4,10.0,865.0,,,,
2012,47,073,47073,116.38,69.1,776,90309,55.0,75.75,4.0,220.0,78.5,57.25,4.0,314.0,317.0,210.0,4.0,1268.0,115.04,67.65,733.0,84323.0,190.0,61.0,1.0,190.0,,,,,133.13,86.77,30.0,3994.0,,,,
2012,51,049,51049,118.31,77.61,109,12896,,,,,104.73,118.27,11.0,1152.0,123.0,225.0,1.0,123.0,117.68,70.52,87.0,10238.0,,,,,,,,,138.3,79.8,10.0,1383.0,,,,
2012,06,053,06053,330.86,164.6,8257,2731870,242.64,98.62,47.0,11404.0,256.29,103.95,78.0,19991.0,299.94,146.36,727.0,218053.0,332.42,162.7,6107.0,2030089.0,221.88,90.69,59.0,13091.0,,,,,354.51,194.52,1239.0,439242.0,,,,
2012,25,019,25019,771.7,491.44,774,597297,265.0,86.0,1.0,265.0,211.33,144.67,3.0,634.0,381.43,268.43,7.0,2670.0,759.02,469.84,652.0,494881.0,809.33,713.0,3.0,2428.0,,,,,892.77,643.49,108.0,96419.0,,,,
2012,21,235,21235,101.65,73.32,375,38118,102.0,156.0,1.0,102.0,89.0,56.0,1.0,89.0,188.0,120.0,1.0,188.0,101.75,72.33,365.0,37139.0,,,,,,,,,85.71,109.0,7.0,600.0,,,,
2012,17,085,17085,148.66,122.71,754,112090,,,,,116.0,158.5,2.0,232.0,103.5,42.0,2.0,207.0,149.05,118.81,665.0,99121.0,90.0,66.0,1.0,90.0,,,,,148.1,155.33,84.0,12440.0,,,,
2012,06,001,06001,350.9,144.94,66091,23191639,305.1,115.95,220.0,67122.0,275.85,117.39,1424.0,392811.0,364.71,142.75,24485.0,8929824.0,348.34,147.56,28175.0,9814496.0,292.46,117.98,429.0,125467.0,,,,,340.02,148.19,11358.0,3861919.0,,,,
2012,29,179,29179,85.85,63.5,34,2919,,,,,,,,,,,,,81.93,58.79,29.0,2376.0,,,,,,,,,108.6,90.8,5.0,543.0,,,,
2012,28,059,28059,133.91,108.3,1736,232466,87.0,107.17,6.0,522.0,104.47,83.05,110.0,11492.0,125.89,129.61,38.0,4784.0,135.65,109.22,1534.0,208085.0,155.0,51.0,1.0,155.0,,,,,158.04,121.53,47.0,7428.0,,,,
2012,13,291,13291,157.25,96.46,715,112431,182.33,86.67,3.0,547.0,103.0,157.0,1.0,103.0,260.0,120.5,4.0,1040.0,155.37,95.63,656.0,101922.0,,,,,,,,,172.92,104.67,51.0,8819.0,,,,
